DEPT,RDEEP_1,RSHAL_1,RMICRO_1,DENB_1,CALI_1,NEUT_1,GR_1,SP_1,DTCOMP_1,PEF_1,DTSH_1
493.9284,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
494.0808,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
494.2332,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
494.3856,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
494.538,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
494.6904,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
494.8428,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
494.9952,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
495.1476,0.3232,0.1487,-999.25,1.7391,12.3916,0.4792,42.3553,89.25,52.7875,-121.8321,252.4173
495.3,0.3359,0.1474,2000,1.7391,12.4062,0.4792,42.3553,89,52.7875,-121.8321,252.4173
495.4524,0.3213,0.149,2000,1.7391,12.3833,0.5007,41.6742,89.8125,52.7875,-121.8321,252.4173
495.6048,0.3228,0.1479,2000,1.7321,12.3975,0.4758,39.3292,91.875,52.7875,-113.6864,252.4173
495.7572,0.3366,0.1483,2000,1.7421,12.3947,0.4758,39.4594,92.5,52.7875,-87.0495,252.4173
495.9096,0.3362,0.1484,2.8568,1.7937,12.386,0.4492,42.995,92.75,52.7875,1256.796,252.4173
496.062,0.3368,0.148,3.9279,1.8165,12.413,0.4755,43.7284,93,52.7875,35563.43,252.4173
496.2144,0.3252,0.1491,2000,1.8345,12.3719,0.4833,44.3791,92,52.7875,522.2544,252.4173
496.3668,0.3227,0.1477,2000,1.8274,12.4002,0.4967,44.2307,90.75,52.7875,-70.8256,252.4173
496.5192,0.3402,0.1482,13.4069,1.8541,12.4089,0.5151,46.7541,89.9375,52.7875,-148.2936,252.4173
496.6716,0.3308,0.149,9.1821,1.8058,12.3833,0.519,49.8774,89.8125,52.7875,-161.1164,252.4173
496.824,0.3234,0.1478,2000,1.7729,12.386,0.4769,50.678,89.25,52.7875,-145.9548,252.4173
496.9764,0.3295,0.1475,11.6849,1.7354,12.3916,0.4508,53.2595,88.8125,52.7875,-154.8521,252.4173
497.1288,0.3172,0.1481,1.1363,1.7167,12.3947,0.4751,52.0883,88.875,52.7875,-1212.231,252.4173
497.2812,0.3212,0.1481,1.3596,1.7468,12.4085,0.4684,49.0887,89.9375,52.7875,276.6272,252.4173
497.4336,0.3283,0.1483,1.1271,1.7308,12.4053,0.4903,47.0107,89.6875,52.7875,-170.953,252.4173
497.586,0.3278,0.1485,1.2316,1.7495,12.4255,0.466,46.8805,89.0625,52.7875,-97.561,252.4173
497.7384,0.3152,0.1486,0.4122,1.7316,12.4053,0.4983,48.7064,88.6875,52.7875,-147.3345,252.4173
497.8908,0.3198,0.1487,2.3327,1.6849,12.4122,0.5552,48.3534,88.0625,52.7875,-174.2838,252.4173
498.0432,0.3181,0.1482,0.8457,1.65,12.4167,0.5581,49.0041,88.125,52.7875,-127.8268,252.4173
498.1956,0.3128,0.1484,0.3797,1.674,12.4167,0.5705,46.3066,87.5,52.7875,-197.3904,252.4173
498.348,0.3205,0.1475,0.698,1.6731,12.4053,0.5094,46.8074,87.5,52.7875,1130.32,252.4173
498.5004,0.3177,0.1484,1.0803,1.6891,12.4282,0.5465,45.3519,87.6875,52.7875,-301.3771,252.4173
498.6528,0.3238,0.1489,2.0705,1.6786,12.4096,0.5194,46.9896,87.6875,52.8465,-104.063,260.6445
498.8052,0.319,0.1488,2000,1.6516,12.4025,0.5194,45.8007,87.375,52.7529,-110.1416,258.9164
498.9576,0.3211,0.1483,1.4341,1.5852,12.414,0.474,44.1124,87.625,52.0192,-203.5609,260.2636
499.11,0.3245,0.1479,2000,1.5421,12.414,0.4633,42.2885,88,52.8344,-411.7606,260.2235
